L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-instructions,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,iTLB-load-misses,instructions,node-loads,node-stores,class
63458,2108086,1129038,38164,2989,17756,9001097,1931325,107397,835522,25412,123528,1148,39357643,16275,1483,benign
2895,29448,18736,3711,416,1938,12370,20046,604,2967,241,3887,167,66570,107,29,benign
481,7673,3859,718,252,384,4605,4606,414,1304,1,1678,77,115334,1,0,benign
107721,14178519,7451693,22291,528,20439,12253438,13230096,38973,959596,1007,54633,184,51462564,718,161,benign
2332,14617,13274,1651,181,570,7009,10342,381,1624,8,2196,101,33560,7,1,benign
469924,10245945,6502011,300576,1333,99397,8269193,8465605,62602,811881,1756,297941,9810,37387472,1727,16,benign
2648986,12156478,4076067,198901,22480,409910,9411433,9307544,126533,937318,26322,754028,14733,41796039,22354,488,benign
29114,385529,243357,37941,466,19366,689150,314887,30517,109568,5741,80477,2689,3463579,2347,235,benign
256227,12607651,6359234,119065,23222,97256,11948471,12648339,121805,863852,35616,252210,4551,53319010,21922,980,benign
192735,3982756,2470455,227951,91,57353,1230689,3251705,15050,263828,1934,56776,2375,12199922,1487,118,benign
12538,182406,100438,12350,674,7161,146692,146841,5785,30124,425,24569,845,5117128,280,11,benign
497,5922,3786,779,265,363,12143,4840,679,3174,23,3072,66,57372,3,14,benign
13768,195031,122510,8515,3257,8340,87375,123781,3518,31390,13776,22942,78,72741,5092,296,benign
307038,8414079,3699822,271589,2636,143126,9333002,7826449,149734,974394,12951,304469,5264,37040703,6690,782,benign
429508,11355422,6530903,182767,10182,102301,17493750,9964535,168571,908712,9991,314866,5573,75590656,4913,2973,benign
1617,28525,13959,2365,1885,1270,14916,26881,874,8736,3186,5183,243,90393,1831,89,benign
272036,12228755,7277713,87308,6268,143363,11168581,10193072,44192,922178,5144,203668,3036,48807828,3037,187,benign
1699,7541,9083,686,2,369,7036,7026,413,1685,14,2414,89,33779,7,1,benign
626072,9554034,5170532,170112,6513,139879,5473018,5252961,192095,833756,16128,423582,4487,35948650,6077,4853,benign
176762,6808168,3165845,136513,6015,58174,14092,5605909,411,3051,351,3116,2208,75564,189,37,benign
3456,8774,16098,2116,314,580,7040,7695,473,2162,592,3177,73,21540,57,512,benign
2364,12924,13104,1494,146,563,12395,9562,671,2013,13,3151,87,56986,10,0,benign
325688,10676987,6226994,309384,10315,128199,8790609,10261953,85608,912104,49063,388253,6106,40079818,27029,3718,benign
45212,399763,231741,17677,10517,16146,4052863,295075,93946,558056,70337,272674,121,18433174,49686,3686,benign
295975,6096813,2840759,221075,17808,128871,2072733,5405812,13002,268608,21106,58387,5742,18525587,5899,1756,benign
465,5991,3799,818,21,337,7044,4921,416,1641,3,2307,63,33821,0,3,benign
112003,13953855,7340158,51118,608,31594,12511739,13017864,35267,895579,714,112245,1967,52420599,697,10,benign
391541,14986095,5336949,164041,5876,69762,9013834,12233693,64368,971220,7058,208286,3063,38716127,4679,184,benign
4050,34684,25689,2856,120,2067,38428,24022,592,6603,156,8515,126,119306,96,42,benign
552,3804,2513,735,329,410,2575,2706,339,2993,1654,1719,88,11969,345,20,benign
495364,12139125,5718708,297146,16194,127996,9264002,9778483,154212,941594,15937,412706,7277,44522503,4890,825,benign
2954,73935,47127,1742,157,572,77507,47619,328,5914,469,5198,55,416757,160,91,benign
342245,8600940,4086362,161655,6471,89559,7805532,8325886,106653,889829,7363,253416,6485,32306577,5642,541,benign
1149,17881,6048,1296,594,1246,4870,15441,405,1642,6,2376,69,21080,5,0,benign
2683932,12294581,4140720,208160,26654,412626,9199900,9421794,128074,930448,32464,742296,19032,40439915,24604,745,benign
485,5952,3792,684,263,340,242197,4879,8711,1310,15222,36972,82,1164926,4136,0,benign
398638,10746999,5462780,263661,18486,155974,9702085,9412448,138022,897528,9211,495445,6457,40914121,5429,197,benign
2825,85628,29191,4065,1268,1670,61474,61132,2405,16377,6372,8017,318,338912,1465,228,benign
1802,5925,9048,873,61,337,4835,4844,330,1261,2,1687,79,33580,2,0,benign
